Date,Close,MA10,MA50,Target
2026-03-17,1397.6,1392.78,1426.39,1408.1
2026-03-18,1408.1,1399.09,1422.99,1384.8
2026-03-19,1384.8,1398.63,1420.54,1414.4
2026-03-20,1414.4,1399.59,1418.74,1407.8
2026-03-23,1407.8,1397.97,1417.48,1411.8
2026-03-24,1411.8,1398.27,1416.21,1413.1
2026-03-25,1413.1,1400.56,1414.81,1348.1
2026-03-27,1348.1,1396.15,1412.72,1343.9
2026-03-30,1343.9,1392.47,1410.42,1369.2
2026-04-01,1369.2,1389.88,1408.63,1350.5
2026-04-02,1350.5,1385.17,1406.48,1304.7
2026-04-06,1304.7,1374.83,1404.3,1304.6
2026-04-07,1304.6,1366.81,1402.51,1347.8
2026-04-08,1347.8,1360.15,1401.38,1330.0
2026-04-09,1330.0,1352.37,1399.93,
